Year,Month,Day,Hour,Category,DayOfWeek,X,Y
2015,5,13,23,OTHER OFFENSES,Wednesday,-122.425891675136,37.7745985956747
2015,5,13,23,OTHER OFFENSES,Wednesday,-122.42436302145,37.8004143219856
2015,5,13,23,LARCENY/THEFT,Wednesday,-122.42699532676599,37.80087263276921
2015,5,13,23,LARCENY/THEFT,Wednesday,-122.438737622757,37.771541172057795
2015,5,13,23,LARCENY/THEFT,Wednesday,-122.40325236121201,37.713430704116
2015,5,13,23,VEHICLE THEFT,Wednesday,-122.423326976668,37.7251380403778
2015,5,13,23,VEHICLE THEFT,Wednesday,-122.371274317441,37.7275640719518
2015,5,13,23,LARCENY/THEFT,Wednesday,-122.508194031117,37.776601260681204
2015,5,13,23,LARCENY/THEFT,Wednesday,-122.419087676747,37.8078015516515
2015,5,13,22,LARCENY/THEFT,Wednesday,-122.419087676747,37.8078015516515
2015,5,13,22,OTHER OFFENSES,Wednesday,-122.487983072777,37.737666654332706
2015,5,13,22,VANDALISM,Wednesday,-122.41241426358101,37.7830037964534
2015,5,13,22,LARCENY/THEFT,Wednesday,-122.432914603494,37.7843533426568
2015,5,13,22,NON-CRIMINAL,Wednesday,-122.397744427103,37.7299346936044
2015,5,13,22,NON-CRIMINAL,Wednesday,-122.38369150395901,37.7431890419965
2015,5,13,21,OTHER OFFENSES,Wednesday,-122.38640086995301,37.738983491072
2015,5,13,21,NON-CRIMINAL,Wednesday,-122.412249767634,37.782556330202
2015,5,13,21,LARCENY/THEFT,Wednesday,-122.449389111284,37.7426688025766
2015,5,13,21,NON-CRIMINAL,Wednesday,-122.412249767634,37.782556330202
2015,5,13,21,LARCENY/THEFT,Wednesday,-122.43604920358601,37.79984122288229
2015,5,13,21,NON-CRIMINAL,Wednesday,-122.41050925879499,37.786043222299206
2015,5,13,21,LARCENY/THEFT,Wednesday,-122.43101755702699,37.7873880712241
2015,5,13,21,LARCENY/THEFT,Wednesday,-122.42365634294501,37.7325564882065
2015,5,13,21,LARCENY/THEFT,Wednesday,-122.475773497852,37.744919069591
2015,5,13,20,OTHER OFFENSES,Wednesday,-122.49978712069,37.74851760347229
2015,5,13,20,LARCENY/THEFT,Wednesday,-122.431046366089,37.7830295716044
2015,5,13,20,NON-CRIMINAL,Wednesday,-122.43515009981199,37.7617597243598
2015,5,13,20,VANDALISM,Wednesday,-122.432743822617,37.7838424505847
2015,5,13,20,LARCENY/THEFT,Wednesday,-122.431309540727,37.7858706272526
2015,5,13,20,VANDALISM,Wednesday,-122.431309540727,37.7858706272526
2015,5,13,20,LARCENY/THEFT,Wednesday,-122.391845617192,37.778124778322
2015,5,13,20,LARCENY/THEFT,Wednesday,-122.431830723792,37.7956417032576
2015,5,13,20,LARCENY/THEFT,Wednesday,-122.43055177980101,37.7893227716214
2015,5,13,20,VANDALISM,Wednesday,-122.432446462853,37.7108326541075
2015,5,13,20,NON-CRIMINAL,Wednesday,-122.405294845215,37.7863072236365
2015,5,13,20,LARCENY/THEFT,Wednesday,-122.422127579529,37.7730330183515
2015,5,13,20,LARCENY/THEFT,Wednesday,-122.406351834294,37.7860311576362
2015,5,13,20,OTHER OFFENSES,Wednesday,-122.39944365894199,37.73017601616471
2015,5,13,20,OTHER OFFENSES,Wednesday,-122.39944365894199,37.73017601616471
2015,5,13,20,OTHER OFFENSES,Wednesday,-122.415212031352,37.788871449843
2015,5,13,20,VEHICLE THEFT,Wednesday,-122.423702325261,37.7352327878159
2015,5,13,20,LARCENY/THEFT,Wednesday,-122.471799827428,37.765686698829796
2015,5,13,19,NON-CRIMINAL,Wednesday,-122.408597386677,37.789224205873
